ts,Tsurf,Csurf,Tc,Cc,jw,W,Tamb,Camb
0.0,301.15,2.54996585582159,301.15,2.55,3.5851387330143423e-09,0.7401769282992966,301.15,0.01963
60.0,301.22856735370743,2.549635449387295,301.15000037587635,2.55,3.3649963762030804e-09,0.740170892493367,301.678,0.02002
120.0,301.3865503071778,2.5495038240047734,301.15022920455993,2.55,3.144827395544458e-09,0.7401652350835185,302.342,0.02053
180.0,301.56904537582517,2.549411865770492,301.15324482077443,2.55,2.9868200138659093e-09,0.7401598977335048,302.834,0.021
240.0,301.74715203479866,2.5493444185478493,301.1649357324078,2.55,2.7931743421383104e-09,0.7401548638170761,303.18699999999995,0.02151
300.0,301.9922835453894,2.549283122644968,301.1909406289488,2.55,2.7736700342939123e-09,0.7401500312990552,303.984,0.02191
360.0,302.2439941454302,2.549224212249804,301.2339525963982,2.55,2.7484991044272488e-09,0.7401452203481026,304.443,0.02233
420.0,302.50401448157965,2.5491708576781056,301.2958429366838,2.55,2.7145242764512937e-09,0.7401404669724841,304.96999999999997,0.02278
480.0,302.74569394028435,2.549124002827086,301.3785108042317,2.55,2.6446917375739452e-09,0.7401357961805757,305.27099999999996,0.02325
540.0,303.02060432422314,2.549083126597326,301.4820036248337,2.549999999999998,2.583635364191067e-09,0.7401312531398225,305.88,0.02377
600.0,303.3072523748337,2.549043706323882,301.6047879459234,2.5499999999999763,2.550555010208663e-09,0.7401267830366313,306.352,0.02428
660.0,303.62928999947815,2.5489950160841897,301.74524325095587,2.5499999999997893,2.6837431654498754e-09,0.74012223427487,307.029,0.02465
720.0,303.93982426433035,2.548940894015992,301.9029137223987,2.5499999999986747,2.775154386700365e-09,0.7401174767509581,307.418,0.02506
780.0,304.2613719557723,2.5488866495286544,302.07791726495856,2.549999999993637,2.849911410076483e-09,0.7401125842073927,307.95599999999996,0.02552
840.0,304.56901675643894,2.548839871360106,302.2700612183888,2.5499999999753737,2.799789575878164e-09,0.7401076608018061,308.292,0.02612
900.0,304.8722584330964,2.5487931207359713,302.47811428587755,2.549999999919935,2.8469855271683164e-09,0.7401027454241587,308.674,0.0266
960.0,305.2048667968462,2.548729442345902,302.70036227559024,2.549999999774307,3.113116450928488e-09,0.7400975638529853,309.241,0.02687
1020.0,305.515490761595,2.5486634680699094,302.9346010445504,2.5499999994346854,3.2094947691527456e-09,0.740092051693809,309.50399999999996,0.02732
1080.0,305.87359144838456,2.5486030925017022,303.1796279192854,2.549999998717337,3.260325803198058e-09,0.7400864336550957,310.217,0.02793
1140.0,306.2210547825342,2.5485281503710526,303.4346472225071,2.5499999973231975,3.526770320518874e-09,0.7400805180017692,310.56899999999996,0.02826
1200.0,306.5692335541611,2.548459362166379,303.6993503019133,2.5499999947977985,3.549343653920875e-09,0.7400743603566771,311.032,0.02891
1260.0,306.8943964138175,2.5483785702277775,303.9741400739029,2.549999990492409,3.82393457154832e-09,0.7400679341123196,311.284,0.02921
1320.0,307.2581186301683,2.5482873721824504,304.25828210964517,2.549999983522428,4.093063371795849e-09,0.7400610546408309,311.917,0.02961
1380.0,307.61530186334204,2.548203236125765,304.55026887187813,2.5499999727344083,4.137132747643171e-09,0.7400538834977841,312.275,0.03029
1440.0,307.95716863353533,2.548101422103522,304.84920333042464,2.549999956677755,4.534466803909445e-09,0.7400463324806521,312.60799999999995,0.03051
1500.0,308.2639252648438,2.547999323755411,305.15517932186475,2.5499999335852657,4.680651075255671e-09,0.7400382999428289,312.745,0.03098
1560.0,308.5946102186913,2.547892947007039,305.4671498715574,2.5499999013619092,4.943989409657212e-09,0.7400299302174257,313.21099999999996,0.03137
1620.0,308.9050588192354,2.5477820238858664,305.7827960704538,2.5499998575824128,5.155342651941485e-09,0.7400211277953126,313.388,0.03179
