x_m,y_m,r_m,phi_deg,E_diam_given_detectable_m,E_diam_mixed_mm,p_detectable,cov_weight,Dmin_m,Dmax_m,E_diam_err_given_detectable_m,E_diam_err_mixed_m,cov_err,n_ok,usable,near_axis_unusable_band
0.0,-1800.0,1800.0,270.0,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-260.0,-1780.0,1798.8885,261.6897,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-240.0,-1780.0,1796.1069,262.321,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-220.0,-1780.0,1793.544,262.9542,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-200.0,-1780.0,1791.2007,263.5892,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-180.0,-1780.0,1789.078,264.2257,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-160.0,-1780.0,1787.1765,264.8636,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-140.0,-1780.0,1785.4971,265.5028,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-120.0,-1780.0,1784.0404,266.1432,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-100.0,-1780.0,1782.8068,266.7845,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-80.0,-1780.0,1781.7968,267.4266,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-60.0,-1780.0,1781.0109,268.0694,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-40.0,-1780.0,1780.4494,268.7127,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-20.0,-1780.0,1780.1124,269.3563,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
0.0,-1780.0,1780.0,270.0,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
20.0,-1780.0,1780.1124,270.6437,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
40.0,-1780.0,1780.4494,271.2873,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
60.0,-1780.0,1781.0109,271.9306,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
80.0,-1780.0,1781.7968,272.5734,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
100.0,-1780.0,1782.8068,273.2155,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
120.0,-1780.0,1784.0404,273.8568,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
140.0,-1780.0,1785.4971,274.4972,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
160.0,-1780.0,1787.1765,275.1364,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
180.0,-1780.0,1789.078,275.7743,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
200.0,-1780.0,1791.2007,276.4108,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
220.0,-1780.0,1793.544,277.0458,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
240.0,-1780.0,1796.1069,277.679,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
260.0,-1780.0,1798.8885,278.3103,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-360.0,-1760.0,1796.4409,258.4399,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-340.0,-1760.0,1792.5401,259.0662,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-320.0,-1760.0,1788.8544,259.6952,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-300.0,-1760.0,1785.3851,260.3266,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-280.0,-1760.0,1782.1336,260.9605,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-260.0,-1760.0,1779.1009,261.5966,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-240.0,-1760.0,1776.2883,262.2348,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-220.0,-1760.0,1773.6967,262.875,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-200.0,-1760.0,1771.3272,263.5169,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-180.0,-1760.0,1769.1806,264.1605,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-160.0,-1760.0,1767.2578,264.8056,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
