robot_x_m,robot_y_m,channel,measure_result,svd_deg
-1400.0,1000.0,14,direction,305.13
-1400.0,600.0,14,direction,318.32
-1400.0,200.0,14,direction,337.99
-1400.0,200.0,12,direction,297.04
-1400.0,-200.0,14,direction,6.65
-1400.0,-200.0,12,direction,308.49
-1400.0,-600.0,14,direction,30.88
-1400.0,-600.0,12,direction,334.87
-1400.0,-1000.0,14,direction,49.33
-1400.0,-1000.0,12,direction,15.21
-1000.0,-1400.0,14,direction,73.93
-1000.0,-1400.0,12,direction,75.34
-1000.0,-1000.0,14,direction,65.94
-1000.0,-1000.0,19,direction,2.21
-1000.0,-1000.0,12,direction,46.21
-1000.0,-600.0,14,direction,51.67
-1000.0,-600.0,12,direction,297.23
-1000.0,-200.0,14,direction,11.7
-1000.0,-200.0,12,direction,281.0
-1000.0,200.0,14,direction,321.23
-1000.0,200.0,12,direction,278.22
-1000.0,200.0,9,direction,17.92
-1000.0,200.0,15,direction,22.84
-1000.0,600.0,14,direction,297.6
-1000.0,600.0,9,direction,359.7
-1000.0,600.0,15,direction,4.85
-1000.0,1000.0,14,direction,289.09
-1000.0,1000.0,9,direction,339.94
-1000.0,1000.0,15,direction,346.6
-1000.0,1400.0,15,direction,328.67
-600.0,1400.0,9,direction,313.18
-600.0,1400.0,15,direction,317.57
-600.0,1000.0,14,direction,269.3
-600.0,1000.0,5,direction,326.5
-600.0,1000.0,9,direction,330.28
-600.0,1000.0,15,direction,338.88
-600.0,600.0,14,direction,268.61
-600.0,600.0,5,direction,343.5
-600.0,600.0,9,direction,358.08
-600.0,600.0,15,direction,8.14
-600.0,200.0,14,direction,266.5
-600.0,200.0,12,direction,256.56
-600.0,200.0,5,direction,4.29
-600.0,200.0,9,direction,26.12
-600.0,200.0,15,direction,32.36
-600.0,-200.0,14,direction,98.71
-600.0,-200.0,19,direction,319.04
-600.0,-200.0,12,direction,247.33
-600.0,-200.0,5,direction,24.39
-600.0,-200.0,9,direction,46.84
-600.0,-200.0,15,direction,50.01
-600.0,-200.0,17,direction,355.19
-600.0,-600.0,14,direction,90.87
-600.0,-600.0,19,direction,338.68
-600.0,-600.0,12,direction,223.68
-600.0,-600.0,5,direction,40.17
-600.0,-1000.0,14,direction,89.96
-600.0,-1000.0,19,direction,4.91
-600.0,-1000.0,12,direction,151.93
-600.0,-1400.0,14,direction,91.07
-600.0,-1400.0,19,direction,28.65
-600.0,-1400.0,12,direction,115.58
-200.0,-1400.0,14,direction,108.83
-200.0,-1400.0,19,direction,47.69
-200.0,-1400.0,12,direction,141.43
-200.0,-1000.0,14,direction,114.39
-200.0,-1000.0,19,direction,8.02
-200.0,-1000.0,12,direction,167.64
-200.0,-1000.0,17,direction,45.74
-200.0,-600.0,14,direction,130.98
-200.0,-600.0,19,direction,320.7
-200.0,-600.0,12,direction,200.82
-200.0,-600.0,5,direction,54.07
-200.0,-600.0,9,direction,74.45
-200.0,-600.0,15,direction,74.55
-200.0,-600.0,1,direction,32.73
-200.0,-600.0,17,direction,24.65
-200.0,-200.0,14,direction,169.44
-200.0,-200.0,19,direction,299.77
-200.0,-200.0,12,direction,224.98
-200.0,-200.0,5,direction,37.57
-200.0,-200.0,9,direction,66.55
-200.0,-200.0,15,direction,68.56
-200.0,-200.0,1,direction,15.87
-200.0,-200.0,17,direction,352.71
-200.0,200.0,14,direction,216.71
-200.0,200.0,19,direction,290.98
-200.0,200.0,5,direction,8.34
-200.0,200.0,9,direction,47.57
-200.0,200.0,15,direction,53.77
-200.0,200.0,1,direction,356.64
-200.0,200.0,17,direction,323.16
-200.0,600.0,14,direction,239.3
-200.0,600.0,5,direction,334.71
-200.0,600.0,9,direction,356.84
-200.0,600.0,15,direction,14.79
-200.0,600.0,1,direction,338.4
-200.0,1000.0,18,direction,12.95
-200.0,1000.0,14,direction,250.34
-200.0,1000.0,5,direction,312.34
-200.0,1000.0,9,direction,309.93
-200.0,1000.0,10,direction,27.06
-200.0,1000.0,15,direction,321.82
-200.0,1000.0,1,direction,322.8
-200.0,1400.0,18,direction,351.31
-200.0,1400.0,5,direction,300.21
-200.0,1400.0,9,direction,292.85
-200.0,1400.0,10,direction,5.39
-200.0,1400.0,15,direction,298.82
200.0,1400.0,18,direction,348.53
200.0,1400.0,5,direction,281.32
200.0,1400.0,9,direction,265.63
200.0,1400.0,10,direction,9.18
200.0,1400.0,15,direction,267.8
200.0,1400.0,3,direction,352.13
200.0,1000.0,18,direction,21.34
200.0,1000.0,5,direction,288.79
200.0,1000.0,9,direction,263.19
200.0,1000.0,10,direction,43.7
200.0,1000.0,15,direction,264.54
200.0,1000.0,1,direction,309.73
200.0,1000.0,11,direction,340.79
200.0,1000.0,3,direction,12.57
200.0,600.0,18,direction,43.92
200.0,600.0,14,direction,220.53
200.0,600.0,5,direction,307.53
200.0,600.0,9,direction,200.08
200.0,600.0,10,direction,60.71
200.0,600.0,15,direction,108.03
200.0,600.0,7,direction,352.74
200.0,600.0,1,direction,327.64
200.0,600.0,17,direction,287.85
200.0,600.0,11,direction,356.4
200.0,600.0,3,direction,30.13
200.0,200.0,14,direction,200.92
200.0,200.0,19,direction,270.52
200.0,200.0,5,direction,20.01
200.0,200.0,9,direction,98.5
200.0,200.0,15,direction,93.75
200.0,200.0,7,direction,10.78
200.0,200.0,1,direction,355.43
200.0,200.0,17,direction,298.94
200.0,200.0,11,direction,12.64
200.0,-200.0,14,direction,173.32
200.0,-200.0,19,direction,271.88
200.0,-200.0,5,direction,63.29
200.0,-200.0,9,direction,93.33
200.0,-200.0,15,direction,92.53
200.0,-200.0,1,direction,25.25
200.0,-200.0,17,direction,342.01
200.0,-600.0,14,direction,149.7
200.0,-600.0,19,direction,273.75
200.0,-600.0,12,direction,194.65
200.0,-600.0,5,direction,74.79
200.0,-600.0,9,direction,92.17
200.0,-600.0,15,direction,90.48
200.0,-600.0,1,direction,44.91
200.0,-600.0,17,direction,49.58
200.0,-1000.0,14,direction,132.19
200.0,-1000.0,19,direction,73.19
200.0,-1000.0,12,direction,171.94
200.0,-1000.0,5,direction,78.71
200.0,-1000.0,1,direction,58.13
200.0,-1000.0,17,direction,69.0
200.0,-1400.0,19,direction,86.94
200.0,-1400.0,12,direction,153.07
600.0,-1400.0,19,direction,129.63
600.0,-1000.0,19,direction,170.32
600.0,-1000.0,5,direction,96.55
600.0,-1000.0,4,direction,33.74
600.0,-1000.0,1,direction,73.55
600.0,-1000.0,17,direction,100.95
600.0,-600.0,14,direction,158.55
600.0,-600.0,19,direction,220.3
600.0,-600.0,5,direction,100.17
600.0,-600.0,9,direction,110.14
600.0,-600.0,4,direction,12.56
600.0,-600.0,15,direction,107.46
600.0,-600.0,7,direction,48.17
600.0,-600.0,1,direction,66.69
600.0,-600.0,17,direction,113.16
600.0,-200.0,14,direction,175.09
600.0,-200.0,19,direction,243.47
600.0,-200.0,5,direction,108.39
600.0,-200.0,9,direction,120.96
600.0,-200.0,4,direction,349.52
600.0,-200.0,15,direction,115.67
600.0,-200.0,7,direction,35.04
600.0,-200.0,1,direction,46.09
600.0,-200.0,17,direction,215.0
600.0,-200.0,11,direction,36.06
600.0,200.0,18,direction,75.81
600.0,200.0,14,direction,194.78
600.0,200.0,19,direction,250.48
600.0,200.0,5,direction,150.53
600.0,200.0,9,direction,139.9
600.0,200.0,4,direction,328.55
600.0,200.0,15,direction,131.08
600.0,200.0,7,direction,14.63
600.0,200.0,1,direction,347.76
600.0,200.0,17,direction,255.46
600.0,200.0,11,direction,18.26
600.0,200.0,3,direction,57.48
600.0,600.0,18,direction,68.41
600.0,600.0,5,direction,242.07
600.0,600.0,9,direction,182.74
600.0,600.0,10,direction,84.03
600.0,600.0,15,direction,167.17
600.0,600.0,7,direction,349.49
600.0,600.0,1,direction,305.41
600.0,600.0,17,direction,262.26
600.0,600.0,11,direction,355.31
600.0,600.0,3,direction,43.52
600.0,1000.0,18,direction,43.98
600.0,1000.0,5,direction,258.13
600.0,1000.0,9,direction,223.37
600.0,1000.0,10,direction,78.56
600.0,1000.0,15,direction,214.93
600.0,1000.0,7,direction,329.0
600.0,1000.0,1,direction,291.66
600.0,1000.0,11,direction,332.6
600.0,1000.0,3,direction,19.46
600.0,1400.0,18,direction,332.68
600.0,1400.0,5,direction,260.96
600.0,1400.0,9,direction,241.49
600.0,1400.0,10,direction,36.1
600.0,1400.0,15,direction,237.44
600.0,1400.0,7,direction,314.14
600.0,1400.0,1,direction,285.5
600.0,1400.0,11,direction,318.19
600.0,1400.0,3,direction,346.72
1000.0,1400.0,18,direction,229.57
1000.0,1400.0,5,direction,244.13
1000.0,1400.0,9,direction,224.45
1000.0,1400.0,10,direction,166.4
1000.0,1400.0,15,direction,219.29
1000.0,1400.0,7,direction,299.55
1000.0,1400.0,1,direction,266.83
1000.0,1400.0,11,direction,302.96
1000.0,1400.0,3,direction,329.99
1000.0,1000.0,18,direction,115.79
1000.0,1000.0,5,direction,232.56
1000.0,1000.0,9,direction,205.25
1000.0,1000.0,10,direction,122.97
1000.0,1000.0,15,direction,198.81
1000.0,1000.0,7,direction,313.73
1000.0,1000.0,1,direction,264.77
1000.0,1000.0,11,direction,319.19
1000.0,1000.0,3,direction,40.49
1000.0,600.0,18,direction,100.38
1000.0,600.0,5,direction,208.99
1000.0,600.0,9,direction,180.85
1000.0,600.0,10,direction,109.0
1000.0,600.0,4,direction,299.39
1000.0,600.0,15,direction,173.2
1000.0,600.0,7,direction,343.26
1000.0,600.0,1,direction,261.5
1000.0,600.0,17,direction,239.64
1000.0,600.0,11,direction,351.67
1000.0,600.0,3,direction,65.75
1000.0,200.0,18,direction,95.99
1000.0,200.0,5,direction,171.52
1000.0,200.0,9,direction,154.99
1000.0,200.0,4,direction,313.76
1000.0,200.0,15,direction,148.57
1000.0,200.0,7,direction,25.23
1000.0,200.0,1,direction,222.58
1000.0,200.0,17,direction,223.29
1000.0,200.0,11,direction,29.51
1000.0,200.0,3,direction,74.41
1000.0,-200.0,19,direction,223.29
1000.0,-200.0,5,direction,139.38
1000.0,-200.0,9,direction,137.73
1000.0,-200.0,4,direction,341.87
1000.0,-200.0,15,direction,132.2
1000.0,-200.0,7,direction,51.02
1000.0,-200.0,1,direction,101.46
1000.0,-200.0,17,direction,189.51
1000.0,-200.0,11,direction,51.56
1000.0,-600.0,19,direction,203.06
1000.0,-600.0,5,direction,121.66
1000.0,-600.0,4,direction,21.4
1000.0,-600.0,7,direction,64.12
1000.0,-600.0,1,direction,95.71
1000.0,-600.0,17,direction,150.31
1000.0,-600.0,11,direction,63.55
1000.0,-1000.0,19,direction,174.71
1000.0,-1000.0,4,direction,48.1
1000.0,-1000.0,1,direction,92.82
1000.0,-1000.0,17,direction,127.26
1000.0,-1400.0,19,direction,148.71
1000.0,-1400.0,4,direction,62.45
1400.0,-1000.0,19,direction,176.11
1400.0,-1000.0,4,direction,76.8
1400.0,-1000.0,1,direction,112.35
1400.0,-600.0,19,direction,195.67
1400.0,-600.0,5,direction,137.98
1400.0,-600.0,4,direction,54.74
1400.0,-600.0,7,direction,84.07
1400.0,-600.0,1,direction,122.74
1400.0,-600.0,17,direction,161.07
1400.0,-600.0,11,direction,82.25
1400.0,-200.0,5,direction,153.83
1400.0,-200.0,4,direction,308.92
1400.0,-200.0,7,direction,78.82
1400.0,-200.0,1,direction,144.99
1400.0,-200.0,17,direction,184.56
1400.0,-200.0,11,direction,77.86
1400.0,-200.0,3,direction,95.34
1400.0,200.0,18,direction,116.86
1400.0,200.0,5,direction,174.37
1400.0,200.0,4,direction,283.27
1400.0,200.0,15,direction,156.78
1400.0,200.0,7,direction,61.93
1400.0,200.0,1,direction,188.32
1400.0,200.0,17,direction,207.05
1400.0,200.0,11,direction,63.98
1400.0,200.0,3,direction,97.34
1400.0,600.0,18,direction,129.64
1400.0,600.0,5,direction,198.53
1400.0,600.0,9,direction,181.2
1400.0,600.0,10,direction,129.51
1400.0,600.0,4,direction,279.45
1400.0,600.0,15,direction,176.12
1400.0,600.0,7,direction,308.13
1400.0,600.0,1,direction,224.4
1400.0,600.0,11,direction,332.41
1400.0,600.0,3,direction,100.85
1400.0,1000.0,18,direction,153.33
1400.0,1000.0,5,direction,216.81
1400.0,1000.0,10,direction,145.69
1400.0,1000.0,15,direction,194.07
1400.0,1000.0,7,direction,283.12
1400.0,1000.0,1,direction,240.81
1400.0,1000.0,11,direction,288.37
1400.0,1000.0,3,direction,117.22
